,patnum,patnum_kpss,ptype,applnum,ee_number,ee_name,ee_role,ee_role_desc,ee_country,ee_state,ee_city,backward_cites,forward_cites,grantyear,applyear
219,8766917,8766917,utility,13709600,0,"Hillcrest Laboratories, Inc.",2,United States company or corporation,US,MD,Rockville,26,14,2014,2012
225,9368343,9368343,utility,14591041,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,5,1,2016,2015
233,8891848,8891848,utility,13412736,0,"Radnostics, LLC",2,United States company or corporation,US,NY,Scarsdale,6,1,2014,2012
238,9150843,9150843,utility,14540422,0,"Codexis, Inc.",2,United States company or corporation,US,CA,Redwood City,13,0,2015,2014
239,8693724,8693724,utility,12802052,0,Microsoft Corporation,2,United States company or corporation,US,WA,Redmond,174,33,2014,2010
241,9892548,9892548,utility,14820491,0,NVIDIA Corporation,2,United States company or corporation,US,CA,Santa Clara,0,0,2018,2015
245,9256475,9256475,utility,13744668,0,"NUTANIX, INC.",2,United States company or corporation,US,CA,San Jose,14,43,2016,2013
246,9693107,9693107,utility,14262036,1,Cellco Partnership,2,United States company or corporation,US,NJ,Basking Ridge,0,0,2017,2014
247,9146677,9146677,utility,13752161,0,Applied Micro Circuits Corporation,2,United States company or corporation,US,CA,Sunnyvale,4,0,2015,2013
249,9661552,9661552,utility,14534709,0,"Facebook, Inc.",2,United States company or corporation,US,CA,Menlo Park,12,4,2017,2014
251,9727055,9727055,utility,14674393,0,Alcatel-Lucent USA Inc.,2,United States company or corporation,US,NJ,Murray Hill,3,0,2017,2015
252,8705055,8705055,utility,13049112,0,InfoPrint Solutions Company LLC,2,United States company or corporation,US,CO,Boulder,5,0,2014,2011
254,8911009,8911009,utility,13334938,0,"Ultra-Mek, Inc.",2,United States company or corporation,US,NC,Denton,32,3,2014,2011
259,9702887,9702887,utility,13595817,0,"Brooks Automation, Inc.",2,United States company or corporation,US,MA,Chelmsford,50,0,2017,2012
264,9587230,9587230,utility,14469218,0,"TEMPO BIOSCIENCE, INC.",2,United States company or corporation,US,CA,San Francisco,3,0,2017,2014
267,9002794,9002794,utility,13960687,0,"American Megatrends, Inc.",2,United States company or corporation,US,GA,Norcross,9,0,2015,2013
273,10317066,10317066,utility,15497200,0,Lucifer Lighting Company,2,United States company or corporation,US,TX,San Antonio,19,1,2019,2017
274,10372893,10372893,utility,15340373,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,3,0,2019,2016
275,9572621,9572621,utility,12792201,0,BOVIE MEDICAL CORPORATION,2,United States company or corporation,US,FL,Clearwater,19,1,2017,2010
280,10394468,10394468,utility,15440454,0,INTERNATIONAL BUSINESS MACHINES CORPORATION,2,United States company or corporation,US,NY,Armonk,53,0,2019,2017
281,10400501,10400501,utility,15596694,0,"Build Smart IP, LLC",2,United States company or corporation,US,KS,Lawrence,18,0,2019,2017
284,9113897,9113897,utility,13741550,0,Covidien LP,2,United States company or corporation,US,MA,Mansfield,101,5,2015,2013
286,8783476,8783476,utility,13590917,0,"Opto International, Inc.",2,United States company or corporation,US,IL,Wood Dale,51,4,2014,2012
288,8485689,8485689,utility,13494858,0,"Barco, Inc.",2,United States company or corporation,US,GA,Duluth,15,10,2013,2012
290,9650593,9650593,utility,14935497,0,The Procter & Gamble Company,2,United States company or corporation,US,OH,Cincinnati,41,1,2017,2015
291,9151673,9151673,utility,12950363,0,"Block Engineering, LLC",2,United States company or corporation,US,MA,Marlborough,8,0,2015,2010
292,10424162,10424162,utility,15274370,0,IGT,2,United States company or corporation,US,NV,Las Vegas,231,0,2019,2016
300,9240663,9240663,utility,14080366,0,"Coherent, Inc.",2,United States company or corporation,US,CA,Santa Clara,4,0,2016,2013
304,9931402,9931402,utility,15586727,0,Duke University,2,United States company or corporation,US,NC,Durham,8,0,2018,2017
305,9838125,9838125,utility,14836536,0,The Trustees of Princeton University,2,United States company or corporation,US,NJ,Princeton,2,1,2017,2015
307,10301108,10301108,utility,15034697,0,"Quickthree Technology, LLC",2,United States company or corporation,US,PA,Yardley,5,0,2019,2014
311,8410814,8410814,utility,13162360,0,Apple Inc.,2,United States company or corporation,US,CA,Cupertino,16,2,2013,2011
313,10400067,10400067,utility,15540477,0,"Hewlett-Packard Development Company, L.P.",2,United States company or corporation,US,TX,Spring,33,0,2019,2015
314,8674991,8674991,utility,12769707,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,4,0,2014,2010
317,8910379,8910379,utility,14017605,0,General Electric Company,2,United States company or corporation,US,NY,Niskayuna,45,0,2014,2013
321,10437228,10437228,utility,14665088,0,Ridge Tool Company,2,United States company or corporation,US,OH,Elyria,12,0,2019,2015
323,10409047,10409047,utility,15724738,0,PURDUE RESEARCH FOUNDATION,2,United States company or corporation,US,IN,West Lafayette,3,0,2019,2017
326,8163783,8163783,utility,13093389,0,City of Hope,2,United States company or corporation,US,CA,Duarte,0,3,2012,2011
329,8616080,8616080,utility,12710959,0,Parker-Hannifin Corporation,2,United States company or corporation,US,OH,Cleveland,20,4,2013,2010
330,9291365,9291365,utility,13521565,0,One Earth Designs Inc.,2,United States company or corporation,US,MA,Cambridge,8,1,2016,2011
332,8990544,8990544,utility,13333125,0,"Advanced Micro Devices, Inc.",2,United States company or corporation,US,CA,Sunnyvale,4,0,2015,2011
334,8900974,8900974,utility,13462676,0,Invensas Corporation,2,United States company or corporation,US,CA,San Jose,6,2,2014,2012
338,8579233,8579233,utility,12869532,0,The Boeing Company,2,United States company or corporation,US,IL,Chicago,10,2,2013,2010
344,10192143,10192143,utility,15271206,0,"GoPro, Inc.",2,United States company or corporation,US,CA,San Mateo,2,0,2019,2016
347,9630655,9630655,utility,14950229,0,Ford Motor Copmany,2,United States company or corporation,US,MI,Dearborn,6,4,2017,2015
351,10133721,10133721,utility,13923189,0,"MICROSOFT TECHNOLOGY LICENSING, LLC",2,United States company or corporation,US,WA,Redmond,8,0,2018,2013
357,8656956,8656956,utility,13438533,0,Fike Corporation,2,United States company or corporation,US,MO,Blue Springs,18,0,2014,2012
358,9199726,9199726,utility,14307112,0,THE BOEING COMPANY,2,United States company or corporation,US,IL,Chicago,4,0,2015,2014
360,10181957,10181957,utility,15605137,0,"GraphUS, Inc.",2,United States company or corporation,US,VA,Reston,4,0,2019,2017
361,8600866,8600866,utility,13625467,0,"UAT, Inc.",2,United States company or corporation,US,CO,Englewood,32,0,2013,2012
362,9290381,9290381,utility,14482552,0,Georgia Tech Research Corporation,2,United States company or corporation,US,GA,Atlanta,1,0,2016,2014
364,9123505,9123505,utility,14492819,0,TEL Epion Inc.,2,United States company or corporation,US,MA,Billerica,5,0,2015,2014
367,8373085,8373085,utility,12783065,0,The Viking Corporation,2,United States company or corporation,US,MI,Hastings,5,0,2013,2010
374,8864988,8864988,utility,12905490,0,"Agilent Technologies, Inc.",2,United States company or corporation,US,CA,Santa Clara,11,0,2014,2010
375,9986015,9986015,utility,14145787,0,"Microsoft Technology Licensing, LLC",2,United States company or corporation,US,WA,Redmond,18,0,2018,2013
377,9496040,9496040,utility,14602468,0,SanDisk Technologies LLC,2,United States company or corporation,US,TX,Plano,2,1,2016,2015
382,9346728,9346728,utility,13993194,0,ExxonMobil Chemical Patents Inc.,2,United States company or corporation,US,TX,Baytown,34,2,2016,2011
383,9100710,9100710,utility,14184275,0,Google Inc.,2,United States company or corporation,US,CA,Mountain View,3,1,2015,2014
385,10149144,10149144,utility,14814484,0,Apple Inc.,2,United States company or corporation,US,CA,Cupertino,2,0,2018,2015
391,9167329,9167329,utility,13734871,0,SNIK LLC,2,United States company or corporation,US,CA,Berkeley,32,4,2015,2013
397,9219420,9219420,utility,14569520,0,"Power Integrations, Inc.",2,United States company or corporation,US,CA,San Jose,5,6,2015,2014
398,8549168,8549168,utility,13343553,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,24,2,2013,2012
402,8905860,8905860,utility,13405749,0,"NIKE, Inc.",2,United States company or corporation,US,OR,Beaverton,34,0,2014,2012
403,8852907,8852907,utility,13759601,0,"Xyleco, Inc.",2,United States company or corporation,US,MA,Woburn,4,1,2014,2013
411,9515105,9515105,utility,14624917,0,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",2,United States company or corporation,US,AZ,Phoenix,8,0,2016,2015
414,10369702,10369702,utility,15406944,0,Raytheon Company,2,United States company or corporation,US,MA,Waltham,20,0,2019,2017
417,8498088,8498088,utility,13333985,0,"Western Digital Technologies, Inc.",2,United States company or corporation,US,CA,Irvine,8,54,2013,2011
419,10169761,10169761,utility,15459927,0,ConsumerInfo.com Inc.,2,United States company or corporation,US,CA,Costa Mesa,413,4,2019,2017
421,9545878,9545878,utility,15015603,0,"Sylo Systems, LLC",2,United States company or corporation,US,MD,Upper Marlboro,14,0,2017,2016
426,8717409,8717409,utility,12779686,0,"LifeSize Communications, Inc.",2,United States company or corporation,US,TX,Austin,6,0,2014,2010
430,9872855,9872855,utility,15357269,0,"THERAVANCE BIOPHARMA R&D IP, LLC",2,United States company or corporation,US,CA,South San Francisco,35,2,2018,2016
431,8561698,8561698,utility,12815008,0,Schlumberger Technology Corporation,2,United States company or corporation,US,TX,Sugar Land,6,1,2013,2010
432,9642712,9642712,utility,14613551,0,"Benvenue Medical, Inc.",2,United States company or corporation,US,CA,Santa Clara,408,9,2017,2015
434,9711352,9711352,utility,14776634,0,Yale University,2,United States company or corporation,US,CT,New Haven,8,1,2017,2014
437,8338398,8338398,utility,13091931,0,The Regents of the University of Michigan,2,United States company or corporation,US,MI,Ann Arbor,1,7,2012,2011
439,8486685,8486685,utility,13248537,0,Zoetis P&U LLC,2,United States company or corporation,US,NJ,Florham Park,13,1,2013,2011
443,9760457,9760457,utility,14593657,0,KIP CR P1 LP,2,United States company or corporation,US,NY,New York,28,0,2017,2015
446,8841418,8841418,utility,13538778,0,"Cellerant Therapeutics, Inc.",2,United States company or corporation,US,CA,San Carlos,0,10,2014,2012
449,9573980,9573980,utility,14213525,0,Spogen Biotech Inc.,2,United States company or corporation,US,MO,Columbia,10,10,2017,2014
451,8623974,8623974,utility,13411929,0,ExxonMobil Chemical Patents Inc.,2,United States company or corporation,US,TX,Houston,59,11,2014,2012
453,10230565,10230565,utility,15594688,0,"OTOY, INC.",2,United States company or corporation,US,CA,Los Angeles,0,0,2019,2017
457,8483827,8483827,utility,13398458,0,"Cardiac Pacemakers, Inc.",2,United States company or corporation,US,MN,St. Paul,142,1,2013,2012
458,10067088,10067088,utility,14746269,1,"The United States of America, as Represented by the Secretary of Commerce National Institute of Standards and Technology",6,U.S. Federal government,US,DC,Washington,20,0,2018,2015
460,9741245,9741245,utility,15492359,0,Northrop Grumman Systems Corporation,2,United States company or corporation,US,VA,Falls Church,5,3,2017,2017
462,8671080,8671080,utility,13168929,0,Symantec Corporation,2,United States company or corporation,US,CA,Mountain View,14,20,2014,2011
464,9338828,9338828,utility,13633831,0,ILLINOIS TOOL WORKS INC.,2,United States company or corporation,US,IL,Glenview,32,3,2016,2012
477,8385400,8385400,utility,12916300,0,"ARRIS Group, Inc.",2,United States company or corporation,US,GA,Suwanee,2,2,2013,2010
485,8349650,8349650,utility,13038244,0,"HRL Laboratories, LLC",2,United States company or corporation,US,CA,Malibu,4,1,2013,2011
486,8930948,8930948,utility,13530102,0,"VMware, Inc.",2,United States company or corporation,US,CA,Palo Alto,10,6,2015,2012
487,8851022,8851022,utility,12898181,0,Laars Heating Systems Company,2,United States company or corporation,US,NH,Rochester,10,2,2014,2010
492,9850552,9850552,utility,13664083,0,INCIDENT CONTROL SYSTEMS,2,United States company or corporation,US,MA,New Bedford,10,0,2017,2012
496,8785866,8785866,utility,13548364,0,Cabot Corporation,2,United States company or corporation,US,MA,Boston,22,0,2014,2012
497,8554693,8554693,utility,12948962,0,"AT&T Intellectual Property I, L.P.",2,United States company or corporation,US,GA,Atlanta,15,1,2013,2010
500,9065472,9065472,utility,14639381,0,The United States of America as represented by the Secretary of the Air Force,6,U.S. Federal government,US,DC,Washington,2,2,2015,2015
501,10469171,10469171,utility,16170850,0,"Elenion Technologies, LLC",2,United States company or corporation,US,NY,New York,0,0,2019,2018
502,9338432,9338432,utility,13240175,0,INTUIT INC.,2,United States company or corporation,US,CA,Mountain View,2,0,2016,2011
504,8278811,8278811,utility,12981789,0,General Electric Company,2,United States company or corporation,US,NY,Schenectady,1,3,2012,2010
507,9081373,9081373,utility,13297014,0,PALO ALTO RESEARCH CENTER INCORPORATED,2,United States company or corporation,US,CA,Palo Alto,4,2,2015,2011
508,8894437,8894437,utility,13553666,0,"Integrated Illumination Systems, Inc.",2,United States company or corporation,US,CT,Morris,241,1,2014,2012
510,10383983,10383983,utility,15194990,0,"AngioDynamics, Inc.",2,United States company or corporation,US,NY,Latham,32,0,2019,2016
515,9372767,9372767,utility,14298344,0,"NetApp, Inc.",2,United States company or corporation,US,CA,Sunnyvale,12,3,2016,2014
516,8716533,8716533,utility,13322674,0,"Kalamazoo Holdings, Inc.",2,United States company or corporation,US,MI,Kalamazoo,35,0,2014,2010
521,10298695,10298695,utility,12947468,0,Provenance Asset Group LLC,2,United States company or corporation,US,NY,Pittsford,2,0,2019,2010
524,9840959,9840959,utility,14979416,0,Federal-Mogul LLC,2,United States company or corporation,US,MI,Southfield,15,0,2017,2015
531,9980385,9980385,utility,15494672,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,9,0,2018,2017
532,9631940,9631940,utility,13158866,0,"Ford Global Technologies, LLC",2,United States company or corporation,US,MI,Dearborn,39,1,2017,2011
533,8716518,8716518,utility,13340088,1,Dow Global Technologies LLC,2,United States company or corporation,US,MI,Midland,10,0,2014,2011
534,10294816,10294816,utility,14540253,0,United Technologies Corporation,2,United States company or corporation,US,CT,Farmington,14,0,2019,2014
535,9921623,9921623,utility,14696412,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,13,0,2018,2015
539,9876689,9876689,utility,14170889,0,Sprint Communications Company L.P.,2,United States company or corporation,US,KS,Overland Park,6,0,2018,2014
544,9622448,9622448,utility,15047346,0,Monsanto Technology LLC,2,United States company or corporation,US,MO,St. Louis,2,0,2017,2016
547,9169442,9169442,utility,13394559,0,University of Massachusetts,2,United States company or corporation,US,MA,Boston,19,0,2015,2010
548,9612183,9612183,utility,13825623,0,Malvern Instruments Incorporated,2,United States company or corporation,US,MA,Westborough,5,0,2017,2011
549,10301369,10301369,utility,15688438,0,BioMarin Pharmaceutical Inc.,2,United States company or corporation,US,CA,Novato,6,0,2019,2017
551,8687415,8687415,utility,13543090,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,6,24,2014,2012
554,9765649,9765649,utility,14273111,0,United Technologies Corporation,2,United States company or corporation,US,CT,Farmington,3,2,2017,2014
555,8610596,8610596,utility,12704118,0,"Global Traffic Technologies, LLC",2,United States company or corporation,US,MN,St. Paul,15,2,2013,2010
563,8813248,8813248,utility,13170681,0,Bank of America Corporation,2,United States company or corporation,US,NC,Charlotte,1,1,2014,2011
567,10123727,10123727,utility,15638503,0,Verily Life Sciences LLC,2,United States company or corporation,US,CA,Mountain View,11,0,2018,2017
571,10159422,10159422,utility,15880712,0,"Welch Allyn, Inc.",2,United States company or corporation,US,NY,Skaneateles Falls,78,0,2018,2018
573,10107951,10107951,utility,14888728,0,3M Innovative Properties Company,2,United States company or corporation,US,MN,St. Paul,12,0,2018,2014
574,9183335,9183335,utility,14222456,0,"SYNOPSYS, INC.",2,United States company or corporation,US,CA,Mountain View,6,1,2015,2014
577,9573610,9573610,utility,15090498,0,"TRUNKFIT, LLC.",2,United States company or corporation,US,FL,Davie,17,4,2017,2016
580,8287291,8287291,utility,13231870,0,Netlist Inc.,2,United States company or corporation,US,CA,Irvine,2,70,2012,2011
584,8440074,8440074,utility,12832723,1,"Siemens Energy, Inc.",2,United States company or corporation,US,FL,Orlando,76,4,2013,2010
585,8948145,8948145,utility,12850387,0,Cellco Partnership,2,United States company or corporation,US,NJ,Basking Ridge,1,2,2015,2010
589,9186772,9186772,utility,13788485,0,"Rohm and Haas Electronic Materials CMP Holdings, Inc.",2,United States company or corporation,US,DE,Newark,15,0,2015,2013
590,9783667,9783667,utility,14903486,0,Dow Global Technologies LLC,2,United States company or corporation,US,MI,Midland,6,0,2017,2014
592,9545644,9545644,utility,14656766,0,"RUBBERMAID COMMERCIAL PRODUCTS, LLC",2,United States company or corporation,US,VA,Winchester,6,0,2017,2015
593,7964547,7964547,utility,12902595,0,Ecolab USA Inc.,2,United States company or corporation,US,MN,St. Paul,5,2,2011,2010
595,8972357,8972357,utility,13405182,0,"Placed, Inc.",2,United States company or corporation,US,WA,Seattle,13,55,2015,2012
596,8674019,8674019,utility,13869070,0,Georgia-Pacific Chemicals LLC,2,United States company or corporation,US,GA,Atlanta,54,0,2014,2013
598,10102403,10102403,utility,15835800,0,"MOTOROLA SOLUTIONS, INC.",2,United States company or corporation,US,IL,Chicago,8,1,2018,2017
602,9077634,9077634,utility,13175338,1,"Level 3 Communications, LLC",2,United States company or corporation,US,CO,Broomfield,54,0,2015,2011
603,9649717,9649717,utility,14140362,0,"Innovative Weld Solutions, Ltd.",2,United States company or corporation,US,OH,Dayton,45,0,2017,2013
606,9632782,9632782,utility,13976274,0,Intel Corporation,2,United States company or corporation,US,CA,Santa Clara,1,1,2017,2012
612,8915819,8915819,utility,13773153,0,"GM Global Technology Operations, LLC",2,United States company or corporation,US,MI,Detroit,3,78,2014,2013
613,9667620,9667620,utility,14291887,0,Apple Inc.,2,United States company or corporation,US,CA,Cupertino,6,0,2017,2014
616,8966416,8966416,utility,14197217,0,"Cadence Design Systems, Inc.",2,United States company or corporation,US,CA,San Jose,29,1,2015,2014
617,10048258,10048258,utility,15086340,0,Abbott Point of Care Inc.,2,United States company or corporation,US,NJ,Princeton,28,0,2018,2016
620,9183709,9183709,utility,14226043,0,Intel Corporation,2,United States company or corporation,US,CA,Santa Clara,5,2,2015,2014
622,8484823,8484823,utility,12868383,0,"The Charles Stark Draper Laboratory, Inc.",2,United States company or corporation,US,MA,Cambridge,18,0,2013,2010
626,9041435,9041435,utility,14307234,0,Transphorm Inc.,2,United States company or corporation,US,CA,Goleta,35,2,2015,2014
628,9533747,9533747,utility,12849549,0,Brunswick Corporation,2,United States company or corporation,US,IL,Lake Forest,58,1,2017,2010
630,9017324,9017324,utility,13931246,0,"Holaira, Inc.",2,United States company or corporation,US,MN,Plymouth,914,23,2015,2013
631,9613298,9613298,utility,14293855,0,"Microsoft Technology Licensing, LLC",2,United States company or corporation,US,WA,Redmond,1,0,2017,2014
633,9880309,9880309,utility,14229813,0,"SEESCAN, INC.",2,United States company or corporation,US,CA,San Diego,21,4,2018,2014
635,9678748,9678748,utility,14493722,0,Infosys Limited,3,Foreign company or corporation,IN,,Bangalore,2,1,2017,2014
636,9828826,9828826,utility,15192460,0,"BAKER HUGHES, A GE COMPANY, LLC",2,United States company or corporation,US,TX,Houston,0,0,2017,2016
640,8897257,8897257,utility,12707487,0,Panasonic Intellectual Property Corporation of America,2,United States company or corporation,US,CA,Torrance,8,0,2014,2010
643,8601864,8601864,utility,13374447,0,"Weather Decision Technologies, Inc.",2,United States company or corporation,US,OK,Norman,5,10,2013,2011
648,9164056,9164056,utility,13600441,0,BAYER HEALTHCARE LLC,2,United States company or corporation,US,NJ,Whippany,0,1,2015,2012
650,9032937,9032937,utility,13751867,0,Caterpillar Inc.,2,United States company or corporation,US,IL,Peoria,10,0,2015,2013
654,9388139,9388139,utility,14005462,1,Southern Research Institute,2,United States company or corporation,US,AL,Birmingham,2,0,2016,2012
656,10325210,10325210,utility,14629621,0,"COGNITIVE SCALE, INC.",2,United States company or corporation,US,TX,Austin,1,0,2019,2015
